#OK
#SQL= select h.bdmId, h.axis1_x, h.axis1_y , h.axis1_z, h.Mtot, h.Mvir, h.x, h.y, h.z, h.np from miniMDR1..BDMV h where h.snapnum = 85
#MAXROWS UNLIMITED
#QUERYTIMEOUT 420 sec
#DATE 2013-07-24 20:21:25.629 CEST
#QUERYTIME 73 millisec
#COLUMN 1 name=bdmId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=axis1_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=axis1_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=axis1_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=Mtot JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=Mvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
bdmId,axis1_x,axis1_y,axis1_z,Mtot,Mvir,x,y,z,np
8512140419,-0.2207,0.9215,-0.3195,1.29200003E12,1.28400006E12,377.1107,420.5724,826.9415,148
8512140420,0.5047,0.3476,-0.7902,2.77500002E11,2.77500002E11,391.7466,421.26,823.4115,32
8512140423,0.547,0.6592,0.516,1.82100001E11,1.82100001E11,379.7062,428.6685,824.2138,21
8512140430,0.9328,0.0051,0.3604,5.8970001E11,5.8099997E11,378.5781,431.7391,824.4922,67
8512140431,0.3165,-0.2165,0.9235,8.4990001E11,7.1110001E11,385.2333,432.6418,820.6156,82
8512140443,-0.2792,0.807,-0.5203,9.5390001E11,8.5849997E11,385.1649,432.7585,820.4639,99
8512140465,0.0613,0.8659,0.4964,4.24900002E11,4.24900002E11,378.8034,449.3851,822.2393,49
8512140482,0.4747,0.7686,0.4288,7.5449998E11,7.5449998E11,372.2388,455.2385,823.0135,87
8512140486,-0.406,0.0947,0.9089,3.03500001E11,3.03500001E11,366.6224,462.3913,823.1393,35
8512140487,0.6586,-0.7337,0.1669,3.55600007E11,3.46900005E11,381.1492,459.6197,828.0609,40
8512140488,-0.6192,0.2669,0.7385,2.98300001E12,2.97400009E12,387.4478,460.1134,825.0967,343
8512140496,0.4028,0.9105,0.0933,1.82100001E11,1.82100001E11,368.4277,465.7226,822.9435,21
8512140508,-0.5341,0.6362,0.5568,2.51500003E11,2.51500003E11,388.8499,472.0689,823.7819,29
8512140514,0.8944,0.1434,0.4236,1.04900002E12,1.04900002E12,374.5397,479.682,823.0844,121
8512140515,0.6893,0.5514,-0.47,8.2379997E11,7.8050001E11,394.2859,482.1529,821.4977,90
8512140523,-0.1261,0.8245,-0.5517,1.25799996E12,1.19699997E12,339.4313,484.5359,821.052,138
8512140524,0.1607,0.9141,-0.3723,8.2379997E11,6.5039997E11,339.4107,484.3955,821.1301,75
8512140528,0.6338,-0.6472,0.4235,2.60200006E11,1.73399998E11,350.1967,485.6833,822.1051,20
8512140539,0.1928,-0.1135,0.9747,2.86200005E11,2.86200005E11,377.0132,492.6086,820.3698,33
8512140569,-0.4498,-0.3192,0.8342,4.33600004E11,4.33600004E11,379.5204,431.1704,823.4922,50
8512140573,-0.4183,-0.0462,0.9071,8.5849997E11,8.4990001E11,378.3063,441.502,824.0859,98
8512140590,0.55,0.8188,-0.1645,2.93100008E12,2.54999999E12,384.5033,459.2543,825.7662,294
8512140593,-0.712,0.0403,0.701,3.38199996E12,3.38199996E12,381.8296,460.1563,827.816,390
8512140594,0.4398,-0.4004,0.8039,1.69099998E12,1.69099998E12,391.9709,461.6262,824.4029,195
8512140601,-0.0478,0.928,0.3696,4.5619998E12,4.00599994E12,376.4102,464.6062,829.1309,462
8512140607,0.1157,-0.5099,0.8524,2.39399993E12,1.318E12,376.4427,464.3901,829.1666,152
8512140614,0.9951,0.0974,0.0143,5.29000006E11,5.29000006E11,365.292,470.395,825.5137,61
8512140615,0.0236,-0.4991,0.8662,2.94799999E11,1.99500005E11,367.5699,469.3861,825.8608,23
8512140616,0.8794,0.2731,-0.3899,3.38200003E11,3.38200003E11,372.7679,468.308,823.1316,39
8512140617,0.6368,0.5478,-0.5427,3.34700007E12,7.2850001E11,392.8983,468.1157,827.0906,84
8512140618,0.5978,-0.037,0.8008,1.73399998E11,1.73399998E11,399.7216,469.8901,821.1878,20
8512140621,-0.254,-0.1561,0.9545,1.80400003E12,1.77799994E12,396.3233,472.562,821.757,205
8512140629,0.3004,0.5067,0.8081,5.0990002E12,4.9259998E12,395.6887,479.9671,820.7244,568
8512140634,0.1519,0.5714,0.8065,2.16800002E11,2.16800002E11,338.6218,491.1486,820.8867,25
8512141453,0.679,-0.7192,0.1473,1.80400003E12,5.6369997E11,338.7026,498.8319,820.797,65
8512141761,-0.1806,-0.1182,0.9764,8.8460001E11,5.55E11,338.4165,499.0753,820.3704,64
8512142002,0.861,-0.1075,-0.4972,1.90800003E12,1.83799998E12,338.7827,497.7912,820.9584,212
8512142006,0.4522,-0.3188,0.833,6.8159999E12,5.949E12,338.4802,498.8972,820.6885,686
8512142139,-0.455,0.836,0.3067,5.55E11,5.37700008E11,338.6641,497.2926,821.4365,62
8512142149,-0.2807,0.8868,0.3672,3.64200002E11,3.20900006E11,338.1537,499.1111,820.9012,37
8512142159,-0.053,0.5455,0.8364,1.47400006E12,1.12700005E12,344.8354,508.5286,820.5014,130
8512142299,-0.3816,0.9111,-0.1555,6.3309998E11,6.2440001E11,392.7445,420.9055,823.3672,72
8512142303,0.9473,-0.1128,0.2999,4.77000008E11,4.16300007E11,377.1662,421.6685,826.4774,48
8512142311,0.9637,-0.2567,0.0727,2.25500004E11,2.25500004E11,382.8352,431.2431,823.0358,26
8512142316,0.0289,0.7362,-0.6761,4.24900002E11,4.24900002E11,389.0793,436.2307,820.66,49
8512142322,-0.059,0.4967,0.8659,5.29000006E11,5.29000006E11,359.6972,440.5853,820.5038,61
8512142323,-0.3678,-0.3937,0.8424,1.82100001E11,1.82100001E11,367.1824,440.1496,820.5536,21
8512142328,0.0303,0.6654,0.7459,2.081E11,1.99500005E11,359.8546,439.8798,822.6198,23
8512142329,0.7476,0.5816,-0.3207,2.42800001E11,2.42800001E11,360.7659,440.2069,820.8134,28
8512142336,0.7088,0.7054,-0.0023,4.51000009E11,4.51000009E11,382.1732,451.4845,824.3566,52
8512142339,0.394,0.8874,-0.2393,2.11600002E12,1.977E12,381.8013,458.575,826.6278,228
8512142343,-0.1851,0.4265,0.8853,5.6369997E11,5.46300002E11,374.0869,458.3532,826.5372,63
8512142344,-0.2631,0.761,0.593,2.081E11,2.081E11,378.802,458.4146,826.4157,24
8512142348,-0.3883,-0.252,0.8864,3.12200004E11,3.12200004E11,354.8521,458.8244,820.3159,36
8512142349,0.0908,-0.4745,0.8756,2.25500004E11,2.25500004E11,366.8054,459.0298,825.4412,26
8512142350,0.9028,-0.4105,0.1283,3.38200003E11,3.38200003E11,366.1628,461.1503,825.4218,39
8512142351,0.3854,0.6767,-0.6273,3.64200002E11,3.64200002E11,366.8237,459.1728,825.2407,42
8512142365,0.9745,-0.1792,0.1348,5.2379999E12,5.2209999E12,367.4387,469.2284,826.0024,602
8512142373,-0.4335,-0.238,0.8692,3.72900004E11,3.72900004E11,363.3398,471.3091,822.6285,43
8512142380,0.3882,0.6207,-0.6812,3.20900006E11,3.20900006E11,379.1202,473.955,821.9729,37
8512142382,0.8895,0.3592,0.2824,2.97400009E12,2.94800012E12,352.5789,477.3711,821.3137,340
8512142384,0.9537,0.2361,-0.1864,4.42300006E11,4.42300006E11,350.7149,484.3778,822.3155,51
8512142385,-0.3125,-0.1526,0.9376,2.94799999E11,2.94799999E11,353.4744,477.282,820.3989,34
8512142387,0.4259,0.6621,0.6166,4.796E12,6.3309998E11,394.409,481.7863,822.3851,73
8512142394,-0.4414,0.5146,0.7351,4.68300005E11,4.68300005E11,341.6782,482.7115,821.441,54
8512142395,0.1156,0.0134,0.9932,7.5269999E12,6.9550001E12,350.2222,485.6509,821.9203,802
8512142396,-0.1465,0.7714,0.6192,5.03000007E11,4.94300004E11,373.8274,486.0275,821.6115,57
8512142405,0.396,0.8094,0.4336,3.48600009E12,1.11899994E12,377.3509,494.4855,822.5201,129
8512142434,0.1243,0.9771,-0.1728,3.20900006E11,3.20900006E11,375.7005,421.5025,826.9474,37
8512142444,-0.4591,0.8541,-0.2443,3.03500001E11,3.03500001E11,382.7784,430.9715,823.8807,35
8512142455,0.9274,-0.3737,0.015,1.90800003E11,1.90800003E11,367.9307,436.0242,821.6122,22
8512142461,0.4292,-0.1101,0.8965,8.6720001E11,8.6720001E11,379.3828,439.3803,824.8165,100
8512142469,-0.0361,-0.4518,0.8914,2.25500004E11,2.25500004E11,393.2325,445.1515,825.1026,26
8512142475,0.9506,0.151,-0.271,4.33600004E11,4.33600004E11,359.9293,445.6709,821.7881,50
8512142478,0.8818,-0.467,-0.0659,1.99500005E11,1.99500005E11,371.6382,455.1801,822.671,23
8512142479,0.4947,0.8394,-0.225,5.6369999E12,5.3770002E12,384.3839,459.0525,825.8025,620
8512142480,0.852,0.0674,0.5192,9.7130001E11,9.7130001E11,369.5142,453.8641,822.9919,112
8512142481,-0.5875,0.4646,0.6626,3.31299999E12,3.2780001E12,380.887,459.3673,827.4677,378
8512142494,0.2019,0.2675,0.9422,1.09299997E12,1.09299997E12,375.0373,466.3268,827.6079,126
8512142502,-0.2017,-0.1567,0.9668,2.77500002E11,2.77500002E11,373.3472,473.9525,824.7917,32
8512142503,0.8189,-0.3294,-0.4701,5.6369997E11,5.55E11,373.5785,474.4064,824.4839,64
8512142504,-0.5201,0.834,-0.1841,3.38200003E11,3.38200003E11,397.9611,476.0888,821.7646,39
8512142506,0.1234,0.9065,-0.4038,5.8099997E11,5.8099997E11,364.253,473.5284,822.8374,67
8512142507,0.8175,-0.5335,0.2167,8.8460001E11,8.8460001E11,371.0739,475.5484,823.6693,102
8512142508,-0.3713,0.831,0.4141,4.07600005E11,4.07600005E11,373.4641,474.2464,825.3766,47
8512142509,0.9873,0.101,0.1225,3.38200003E11,3.38200003E11,393.7772,481.5984,822.7809,39
8512142512,0.3714,0.589,-0.7177,3.81600006E12,3.81600006E12,373.0451,480.65,823.4251,440
8512142514,0.0787,0.821,0.5655,3.90200001E11,3.90200001E11,359.4824,483.0394,821.5582,45
8512142522,-0.2263,0.881,0.4155,3.55600007E11,3.55600007E11,346.0327,490.1716,821.5933,41
8512142523,-0.6438,0.6857,0.3397,3.46900005E11,3.46900005E11,359.6178,491.6265,823.1414,40
8512142525,-0.712,0.1335,0.6894,6.9380001E11,6.9380001E11,369.446,489.4558,823.665,80
8512142532,0.588,0.47,0.6583,4.94300004E11,4.85600002E11,378.1823,489.9529,821.9717,56
8512142559,0.0727,0.5664,0.8209,6.7640001E11,6.6779998E11,361.7039,423.6204,822.295,77
8512142560,0.4247,0.1715,0.889,1.90800003E11,1.90800003E11,362.0722,424.1467,821.7708,22
8512142563,0.7391,0.673,0.0269,7.1979998E11,7.1110001E11,362.6022,425.0472,822.0344,82
8512142572,0.3276,0.9109,-0.2509,4.51000009E11,4.51000009E11,366.4598,436.6195,821.0961,52
8512142573,0.8189,0.3788,-0.4312,3.98900003E11,3.98900003E11,391.0611,433.1938,823.3588,46
8512142580,-0.2132,-0.1538,0.9648,1.12099999E13,9.678E12,360.2143,440.4196,822.8465,1116
8512142588,0.2807,0.2596,0.924,4.07600005E11,4.07600005E11,369.0186,444.6098,820.6466,47
8512142589,0.9999,-0.0033,0.0102,1.73399998E11,1.73399998E11,382.4258,451.334,824.3406,20
8512142590,0.4295,0.4948,-0.7554,1.01500001E12,1.01500001E12,392.7222,447.1271,825.3143,117
8512142601,0.9844,0.1743,-0.022,1.02299999E12,6.5039997E11,382.8576,458.8492,826.4168,75
8512142602,0.5267,0.1991,0.8264,3.39099989E12,3.38199996E12,389.2012,460.9608,826.938,390
8512142607,-0.2396,0.4704,0.8493,5.9839998E11,5.9839998E11,361.5217,458.554,825.5405,69
8512142608,0.1393,0.9704,-0.197,2.60200006E11,2.42800001E11,380.9564,459.7512,828.2202,28
8512142621,-0.6841,0.7075,0.1773,2.77500002E11,1.99500005E11,392.7857,467.8448,827.0431,23
8512142638,0.2352,0.642,0.7297,2.34200007E11,2.25500004E11,353.5747,477.5218,820.3528,26
8512142639,0.7648,-0.1323,-0.6305,7.0239997E11,5.55E11,394.3268,482.0732,822.2827,64
8512142646,0.4162,0.7602,-0.4988,3.88500003E12,3.85900007E12,373.2137,484.1678,823.0191,445
8512142653,0.5401,0.7306,0.4177,6.3309998E11,6.3309998E11,341.5027,483.3725,822.4666,73
8512142654,0.2449,0.4947,0.8338,3.72900004E11,3.72900004E11,351.5891,484.5159,822.8632,43
8512142664,0.6441,0.7636,0.0451,4.77000008E11,4.68300005E11,348.2009,488.3027,821.5831,54
8512142665,0.3065,0.4275,0.8505,2.72300009E12,2.6709999E12,376.6381,488.8644,820.6535,308
8512142699,0.7665,-0.6373,0.0794,2.25500004E11,2.25500004E11,360.9876,423.3238,821.2624,26
8512142700,0.3002,0.8942,-0.3321,2.60200006E11,2.60200006E11,362.0047,423.9959,821.3475,30
8512142701,0.8981,-0.3008,0.3207,2.688E11,2.688E11,361.827,423.7186,821.7265,31
8512142705,-0.2766,0.9509,-0.1386,7.9780001E11,7.8919998E11,361.3647,426.1617,820.6017,91
8512142711,-0.2029,-0.0946,0.9746,5.1510001E12,5.0209997E12,366.7499,435.7381,822.4404,579
8512142712,0.4878,-0.0925,0.868,8.2379997E11,7.7179997E11,367.5838,434.8512,824.3254,89
8512142719,0.1284,0.9708,-0.2025,5.20300003E11,5.20300003E11,375.075,434.2839,824.501,60
8512142720,0.5793,0.7523,-0.3136,1.22300006E12,1.12700005E12,377.9709,436.5108,825.5096,130
8512142724,-0.7247,0.581,0.3705,5.6369997E11,5.6369997E11,383.6694,436.2675,825.6851,65
8512142732,0.86,0.5103,0.0021,5.03000007E11,5.03000007E11,361.2693,440.7562,821.5534,58
8512142733,0.952,0.28,0.1237,3.38200003E11,3.38200003E11,375.068,445.3701,822.5244,39
8512142734,0.0045,0.7849,0.6195,3.295E11,3.295E11,377.4955,447.5371,824.7402,38
8512142745,0.4351,0.8711,0.2277,5.9839998E11,5.7240001E11,381.427,457.9623,826.7316,66
8512142746,0.1394,-0.3395,0.9302,3.41700012E12,3.13099996E12,396.0736,455.7976,827.9514,361
8512142749,0.8923,0.2052,0.4022,3.90200001E11,3.90200001E11,349.9716,454.2968,820.4922,45
8512142750,0.8965,0.4339,-0.0895,2.081E11,2.081E11,350.7856,453.0512,820.4768,24
8512142754,0.2938,-0.0687,0.9534,1.99500005E11,1.99500005E11,394.085,460.7313,826.2495,23
8512142757,0.8498,-0.123,-0.5125,4.77000008E11,4.77000008E11,393.1324,464.6866,826.381,55
8512142766,-0.2067,0.971,0.1198,6.6779998E11,6.3309998E11,376.8094,464.0293,831.9309,73
8512142776,-0.4197,0.8765,0.2357,3.81600006E11,3.81600006E11,363.036,473.3234,823.5714,44
8512142777,0.1098,-0.4319,0.8952,4.85600002E11,4.85600002E11,365.6972,471.8993,827.0442,56
8512142780,0.2247,0.9731,-0.051,1.56100002E12,1.55199996E12,362.1659,473.9802,822.6892,179
8512142783,0.8152,0.1278,0.565,6.9380001E11,6.7640001E11,388.1685,483.8784,822.3786,78
8512142786,0.9402,-0.0073,0.3406,1.07499998E12,1.07499998E12,353.568,483.2561,823.0057,124
8512142789,-0.4259,-0.1899,0.8846,5.20300003E11,5.03000007E11,340.9583,490.2075,821.6503,58
8512142790,0.6213,0.7632,-0.1775,7.8050001E11,7.6320001E11,349.3449,486.4008,821.5369,88
8512142791,0.6379,-0.7562,0.1458,3.295E11,3.295E11,353.1932,486.2132,823.8316,38
8512142792,0.1974,0.0109,0.9803,5.8970001E11,4.16300007E11,376.6409,488.8939,820.7059,48
8512142798,0.9779,0.031,-0.2067,1.11000001E12,1.08399998E12,338.349,491.4867,820.6778,125
8512142799,0.9979,0.0607,-0.0238,2.79200006E12,2.78399995E12,343.571,489.8379,821.8011,321
8512142800,0.4879,-0.1429,0.8612,2.16800002E11,2.081E11,375.2285,489.2465,822.3859,24
8512142807,0.6434,-0.7052,0.298,7.6320001E11,7.6320001E11,347.1028,490.9399,821.446,88
8512142808,0.7185,-0.5254,0.4557,2.25499991E12,2.23700006E12,357.8268,495.6651,825.2223,258
8512142834,0.8707,-0.3193,0.3742,2.03799999E12,1.32700006E12,364.4039,421.7923,824.8726,153
8512142843,-0.1438,0.9893,-0.0246,2.34200007E11,2.25500004E11,363.1682,424.0948,823.7386,26
8512142844,0.8063,-0.194,0.5587,2.34200007E11,2.34200007E11,367.1642,423.3631,829.6262,27
8512142849,0.6028,-0.2009,0.7722,4.33600004E11,4.16300007E11,341.6619,427.7983,821.049,48
8512142851,0.2776,0.3874,0.8791,4.77000008E11,4.77000008E11,377.6936,422.099,826.3913,55
8512142858,0.9921,-0.1247,0.0166,7.0239997E11,5.8099997E11,367.5815,434.4844,824.7079,67
8512142859,0.1031,0.4668,0.8783,2.89599993E12,2.83599988E12,376.5482,431.321,825.0354,327
8512142866,0.415,0.7899,0.4514,6.1569997E11,6.1569997E11,376.6654,433.4785,824.9733,71
8512142867,-0.1333,0.9349,-0.3288,2.86200005E11,2.86200005E11,390.7775,434.5681,823.5517,33
8512142875,0.167,0.898,0.407,4.59600003E11,4.59600003E11,371.7112,440.9206,822.867,53
8512142890,0.9752,-0.1625,0.1504,1.47400006E12,1.47400006E12,361.5956,442.8242,823.1921,170
8512142891,-0.2846,-0.4826,0.8283,1.03199998E12,1.02299999E12,378.369,449.7523,824.9634,118
8512142896,-0.1714,0.9167,-0.361,2.86200005E11,2.86200005E11,359.5432,446.3693,823.5699,33
8512142897,0.4721,0.421,0.7745,9.4529998E11,9.4529998E11,368.014,453.2551,824.5351,109
8512142905,0.9886,0.1457,0.0369,1.99500005E11,1.99500005E11,375.2659,460.1142,829.4895,23
8512142906,0.9198,-0.1014,-0.3791,3.90200001E11,3.90200001E11,393.7408,458.4927,827.3309,45
8512142913,-0.3662,0.8301,-0.4205,4.77000008E11,4.59600003E11,347.1188,459.2315,821.737,53
8512142914,0.9075,-0.1014,0.4076,4.5099998E12,4.466E12,347.7053,459.0583,822.1309,515
8512142915,0.5657,0.7378,-0.3682,2.51500003E11,2.51500003E11,356.2967,461.8948,822.3534,29
8512142920,0.094,0.9305,-0.3539,1.82100001E11,1.82100001E11,358.9181,461.6922,823.8419,21
8512142925,-0.1609,-0.5808,0.7979,3.12200004E11,3.12200004E11,337.6198,464.6581,820.335,36
8512142926,-0.4239,-0.3274,0.8444,1.90800003E11,1.90800003E11,363.7722,469.1479,827.139,22
8512142932,0.0724,0.5912,0.8033,4.07600005E11,3.46900005E11,356.8391,467.0452,823.1573,40
8512142933,-0.1282,-0.239,0.9625,5.20300003E11,5.11700009E11,364.623,470.9109,826.14,59
8512142934,0.9,-0.4321,0.0579,6.4169999E12,6.365E12,367.2567,469.629,827.436,734
8512142935,-0.631,0.3436,0.6955,5.20300003E11,4.77000008E11,367.331,469.3718,827.7965,55
8512142942,0.3039,0.6519,0.6948,5.11700009E11,4.94300004E11,351.3027,476.9355,823.4637,57
8512142944,0.6855,0.1444,-0.7136,3.81600006E11,3.81600006E11,349.9967,479.24,822.2986,44
8512142945,-0.644,0.6895,0.3314,3.72900004E11,3.64200002E11,370.9137,481.3367,825.5911,42
8512142946,0.1779,-0.1955,0.9644,4.6920001E12,2.15100005E12,394.7118,481.6822,822.3932,248
8512142948,0.8597,-0.3851,-0.3357,6.417E11,5.8970001E11,351.2568,485.2612,823.2578,68
8512142949,0.2435,-0.4752,0.8455,1.73399998E11,1.73399998E11,350.6038,484.2923,822.7285,20
8512142950,0.1487,0.0064,0.9889,2.688E11,2.60200006E11,358.0236,482.0134,825.0068,30
8512142961,0.7915,-0.5654,0.2322,4.77E12,4.7000002E12,339.1542,493.0695,822.6147,542
8512142962,-0.2475,-0.0234,0.9686,8.0649998E11,8.0649998E11,347.7372,489.7179,821.3978,93
8512142964,0.824,0.1013,-0.5574,1.64800003E13,1.63600002E13,333.9467,495.3692,820.413,1886
8512142965,0.6857,0.3969,-0.6101,1.45700002E12,1.45700002E12,353.3306,493.779,822.1544,168
8512142966,-0.4831,0.5913,0.6458,3.03500001E11,2.94799999E11,355.2973,495.0225,822.2979,34
8512142967,0.6659,-0.4485,0.5962,6.2440001E11,6.2440001E11,367.7797,490.4779,824.8438,72
8512143006,-0.1924,0.9641,-0.1831,4.882E12,4.8300001E12,363.9827,423.0608,824.6673,557
8512143012,0.9821,-0.0328,-0.1853,1.10099995E12,1.09299997E12,367.488,423.1237,829.4957,126
8512143015,0.6548,0.1053,0.7485,5.8970001E11,5.8970001E11,340.0165,427.0212,820.8181,68
8512143022,0.9323,-0.3428,0.115,1.90800003E11,1.82100001E11,361.6995,435.3645,820.4849,21
8512143029,0.1092,0.7485,0.6541,4.5619998E12,4.466E12,377.9734,432.6584,825.7399,515
8512143038,0.2223,0.7717,0.5958,2.82599998E13,2.76199994E13,360.4446,440.3627,823.8903,3185
8512143051,0.6048,-0.6107,0.5112,2.688E11,2.60200006E11,360.3025,440.547,820.4149,30
8512143052,0.1925,-0.6695,0.7174,2.99199994E12,2.342E12,362.0545,442.3026,823.1372,270
